tamano_poblacion,fitness_promedio,fitness_desv,fitness_mediana,fitness_q25,fitness_q75,tiempo_promedio
10,-24096.541841978644,2359.917811041145,-23547.957696397032,-25199.43240166045,-22439.286287712606,3.7411379473549977
20,-21243.666610259603,1054.6806450610757,-21082.533064436455,-21977.666611238525,-20458.495049130586,5.49972288949149
50,-19666.653795333168,204.86141714237658,-19737.09293199907,-19809.127698660726,-19448.55345532722,9.94841490473066
80,-19542.14534237288,212.11459512903468,-19450.240582220034,-19703.767931180933,-19373.693700878444,14.260263851710729
120,-19415.296148117883,125.7808650141033,-19424.030441110026,-19444.92457104622,-19341.730183808857,20.00144805227007
200,-19248.92302940999,162.3536413979816,-19323.889552605528,-19364.37375201953,-19114.783940603273,31.61328363418579
